string_id,en,it
about_section5_text,"Recent political initiatives sought to address these problems using composite indices (Netherlands [1], UK [2], UNDP [5], OECD [4], Germany [5]). The idea was to present several dimensions of social progress while still not massively over-complexifying analysis by pressing all data series into one central index. Yet such methodology has been criticised as exactly not increasing transparency, because the construction of compositite indices requires assumptions to be made on how to weigh the data series that go into an index and on many other aspects of index construction. These assumptions “are either arbitrary or reflect value judgements on which there is not broad consensus” [6]. 

On the macro level, transparency of policies may then not increase as much as we would have hoped to achieve through open data. Data chunks themselves are too much to swallow, and compressing several social trends into one number assumes value judgement that leave the data ""open"" but that make their production process closed knowledge for most citizens.",TO BE TRANSLATED
about_section6_headline,How Yourtopia solves these problems,TO BE TRANSLATED
about_section6_text,"Also Yourtopia constructs a composite index -combining multiple dimensions of the state of affairs in Italy-  but without the arbitrary assumptions! 

[Figure here: Picture of marriage between ""Big open datasets"" and ""transparancy required for open data"", Caption: ""We marry the accessibility of big open datasets to the transparency required for open knowledge, by harnessing the collective intelligence of users for complex weighting  decisions.""]

Our approach is to build a composite index together with the user, adopting the user's assumptions. The choice of indicators and their weightings is determined through the collective intelligence of the web. The user determines the indicators and their weightings in a playful quiz, generating individualised results for regions all across the country. With the viewer and constructor of the index coinciding, we circumvent the traditional issues of composite indices: all assumptions are now open and by construction understandable by the user since he chose those items he recognises and prefers.",TO BE TRANSLATED
about_section7_headline,Assumptions democratically -not arbitrarily- determined,TO BE TRANSLATED
about_section7_text,"Yourtopia asks the user which indicator he prefers and how much, so the indicators that get assembled in the index reflect the users' assumptions on what is important - not some preset decisions based on the subjective preferences of the programmer. The decisions of all users are then combined, on a one-man-one-vote basis, to give a global ranking by all participating Italians on Italy's multidimensional progress for all regions!",TO BE TRANSLATED
about_section8_headline,Research opportunity,TO BE TRANSLATED
about_section8_text,"Yourtopia also  generates anonymous high-frequency data depicting regional variation in  the public's understanding of development and their preferred  indicators, with potential policy messages.

The  user is hence not just a dump for information but two-way communication  becomes possible. The user participates in a research-project that  allows us to gauge the extent to which society can be engaged in  measuring its progress.

[Find out more about Yourtopia's innovation to economic theory: Link to http://wiki.okfn.org/ProgressVote]",TO BE TRANSLATED
about_section9_headline,Conclusion,TO BE TRANSLATED
about_section9_text,"At a time in which many European governments build progress indices that fall into old traps of arbitrary methodological assumptions [7], Yourtopia equips Italy with a measure of social progress across all regions that is methodologically robust and democratically founded. 

Yourtopia furthermore presents us with a chance to get to grips with what divided our regions in the past and what we need to address beyond what the newspaper headlines tell us. It furthermore provides our Northern neighbours with an insight that we now need a real collaboration, because besides all financial indicators there are further social trends here that are divisive, hold back total progress and that we need to address together.",TO BE TRANSLATED
about_section10_headline,Next steps,TO BE TRANSLATED
about_section10_text,"Yourtopia so far can show trends before the current reforms. With the help of Apps4Italy we hope to be able to continuously engage with the user on a search for progress on a much wider geographic and economic resolution than normally considered in the media.

Next steps planned would be to extend Yourtopia to the whole of Europe, to show how our whole continent went into  the crisis; which trends divide regions; and help identify what issues we need to tackle to jointly emerge again. Together with the users' votes we will furthermore trace and provide an innovative measure of how this progress is proceeding.",TO BE TRANSLATED
about_whomade_headline,Who Made Yourtopia,TO BE TRANSLATED
about_whomade_text,"TO BE WRITTEN: Names of all people involved, including function.",TO BE TRANSLATED
about_furtherreading_headline,Further reading,TO BE TRANSLATED
about_furtherreading_text,TO BE WRITTEN: Sources referenced in the texts above have to be named.,TO BE TRANSLATED
about_indicators_headline,The Indicators,TO BE TRANSLATED
