name,label,description,question,image,source,category,hdi_weight,good,select
BM.KLT.DINV.GD.ZS,Foreign direct investment net outflows (% of GDP),Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital reinvestment of earnings other long-term capital and short-term capital as shown in the balance of payments. This series shows net outflows of investment from the reporting economy to the rest of the world and is divided by GDP.,How important is Foreign direct investment net outflows (% of GDP) to you?,0,International Monetary Fund International Financial Statistics and Balance of Payments databases World Bank Global Development Finance and World Bank and OECD GDP estimates.,economy,0,1,0
BM.TRF.PWKR.CD.DT,Workers' remittances and compensation of employees paid (current US$),Workers' remittances and compensation of employees comprise current transfers by migrant workers and wages and salaries earned by nonresident workers. Remittances are classified as current private transfers from migrant workers resident in the host country for more than a year irrespective of their immigration status to recipients in their country of origin. Migrants' transfers are defined as the net worth of migrants who are expected to remain in the host country for more than one year that is transferred from one country to another at the time of migration. Compensation of employees is the income of migrants who have lived in the host country for less than a year. Data are in current U.S. dollars.,How important is Workers' remittances and compensation of employees paid (current US$) to you?,0,World Bank staff estimates based on IMF balance of payments data.,economy,0,1,0
BN.CAB.XOKA.CD,Current account balance (BoP current US$),Current account balance is the sum of net exports of goods services net income and net current transfers. Data are in current U.S. dollars.,How important is Current account balance (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Current account balance is the sum of net exports of goods services net income and net current transfers.,How important is Current account balance (% of GDP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files and World Bank and OECD GDP estimates.,economy,0,1,0
BN.GSR.FCTY.CD,Net income (BoP current US$),Net income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment portfolio investment other investments and receipts on reserve assets). Income derived from the use of intangible assets is recorded under business services. Data are in current U.S. dollars.,How important is Net income (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.GSR.GNFS.CD,Net trade in goods and services (BoP current US$),Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,How important is Net trade in goods and services (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.GSR.MRCH.CD,Net trade in goods (BoP current US$),Net trade in goods is the difference between exports and imports of goods. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods repairs on goods and goods procured in ports by carriers. Trade in services is not included. Data are in current U.S. dollars.,How important is Net trade in goods (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.KAC.EOMS.CD,Net errors and omissions adjusted (BoP current US$),Net errors and omissions constitute a residual category needed to ensure that all debit and credit entries in the balance of payments statement sum to zero. In the International Financial Statistics presentation this is equal to the difference between reserves and related items and the sum of the balances of the current capital and financial accounts. Data are in current U.S. dollars.,How important is Net errors and omissions adjusted (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.KLT.DINV.CD,Foreign direct investment net (BoP current US$),Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital reinvestment of earnings other long-term capital and short-term capital as shown in the balance of payments. This series shows total net that is net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Data are in current U.S. dollars.,How important is Foreign direct investment net (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.KLT.PTXL.CD,Portfolio investment excluding LCFAR (BoP current US$),Portfolio investment excluding liabilities constituting foreign authorities' reserves covers transactions in equity securities and debt securities. Data are in current U.S. dollars.,How important is Portfolio investment excluding LCFAR (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.RES.INCL.CD,Changes in net reserves (BoP current US$),Changes in net reserves is the net change in a country's holdings of international reserves resulting from transactions on the current capital and financial accounts. These include changes in holdings of monetary gold SDRs foreign exchange assets reserve position in the International Monetary Fund and other claims on nonresidents that are available to the central authority. The measure is net of liabilities constituting foreign authorities' reserves and counterpart items for valuation changes and exceptional financing items. Data are in current U.S. dollars.,How important is Changes in net reserves (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.TRF.CURR.CD,Net current transfers (BoP current US$),Net current transfers are recorded in the balance of payments whenever an economy provides or receives goods services income or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.,How important is Net current transfers (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BN.TRF.KOGT.CD,Net capital account (BoP current US$),Net capital account includes government debt forgiveness investment grants in cash or in kind by a government entity and taxes on capital transfers. Also included are migrants' capital transfers and debt forgiveness and investment grants by nongovernmental entities. Data are in current U.S. dollars.,How important is Net capital account (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GRT.EXTA.CD.DT,Grants excluding technical cooperation (current US$),Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,How important is Grants excluding technical cooperation (current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.GRT.TECH.CD.DT,Technical cooperation grants (current US$),Technical cooperation grants include free-standing technical cooperation grants which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.,How important is Technical cooperation grants (current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.GSR.CMCP.ZS,Communications computer etc. (% of service exports BoP),Communications computer information and other services (% of service exports BoP) cover international telecommunications and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business professional and technical services; personal cultural and recreational services; and government services not included elsewhere. Service exports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Communications computer etc. (% of service exports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.FCTY.CD,Income receipts (BoP current US$),Income receipts refer to employee compensation paid to resident workers working abroad and investment income (receipts on direct investment portfolio investment other investments and receipts on reserve assets). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.,How important is Income receipts (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.GNFS.CD,Exports of goods and services (BoP current US$),Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise goods sent for processing and repairs nonmonetary gold and services. Data are in current U.S. dollars.,How important is Exports of goods and services (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.INCL.CD,Exports of goods services income and workers' remittances (BoP current US$),Exports of goods and services are the total value of goods and services exported as well as income and workers' remittances received. Workers' remittances include compensation of employees. Data are in current U.S. dollars.,How important is Exports of goods services income and workers' remittances (BoP current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.GSR.INSF.ZS,Insurance and financial services (% of service exports BoP),Insurance and financial services (% of service exports BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Service exports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Insurance and financial services (% of service exports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.MRCH.CD,Goods exports (BoP current US$),Goods exports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from residents to nonresidents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods repairs on goods and goods procured in ports by carriers. Data are in current U.S. dollars.,How important is Goods exports (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.NFSV.CD,Service exports (BoP current US$),Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.,How important is Service exports (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.ROYL.CD,Royalty and license fees receipts (BoP current US$),Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible nonproduced nonfinancial assets and proprietary rights (such as patents copyrights trademarks industrial processes and franchises) and for the use through licensing agreements of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.,How important is Royalty and license fees receipts (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.TOTL.CD,Exports of goods services and income (BoP current US$),Exports of goods services and income is the sum of goods (merchandise) exports exports of (nonfactor) services and income (factor) receipts. Data are in current U.S. dollars.,How important is Exports of goods services and income (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.TRAN.ZS,Transport services (% of service exports BoP),Transport (% of service exports BoP) covers all transport services (sea air land internal waterway space and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers movement of goods (freight) rental of carriers with crew and related support and auxiliary services. Excluded are freight insurance which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment which are included in goods; repairs of railway facilities harbors and airfield facilities which are included in construction services; and rental of carriers without crew which is included in other services. Service exports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Transport services (% of service exports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.GSR.TRVL.ZS,Travel services (% of service exports BoP),Travel (% of service exports BoP) covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Service exports refer to economic output of intangible commodities that may be produced transferred and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) but definitions may nevertheless vary among reporting economies.,How important is Travel services (% of service exports BoP) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.KLT.DINV.CD.DT,Foreign direct investment net inflows in reporting economy (DRS current US$),Foreign direct investment (net) shows the net change in foreign investment in the reporting country. Foreign direct investment is defined as investment that is made to acquire a lasting management interest (usually of 10 percent of voting stock) in an enterprise operating in a country other than that of the investor (defined according to residency) the investor's purpose being an effective voice in the management of the enterprise. It is the sum of equity capital reinvestment of earnings other long-term capital and short-term capital as shown in the balance of payments. This series shows net inflows in the reporting economy. Data are in current U.S. dollars.,How important is Foreign direct investment net inflows in reporting economy (DRS current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.KLT.DINV.CD.WD,Foreign direct investment net inflows (BoP current US$),Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital reinvestment of earnings other long-term capital and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors. Data are in current U.S. dollars.,How important is Foreign direct investment net inflows (BoP current US$) to you?,0,International Monetary Fund Balance of Payments database supplemented by data from the United Nations Conference on Trade and Development and official national sources.,economy,0,1,0
BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows (% of GDP),Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital reinvestment of earnings other long-term capital and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors and is divided by GDP.,How important is Foreign direct investment net inflows (% of GDP) to you?,0,International Monetary Fund International Financial Statistics and Balance of Payments databases World Bank Global Development Finance and World Bank and OECD GDP estimates.,economy,0,1,0
BX.KLT.DREM.CD.DT,Profit remittances on FDI (current US$),Profit remittances on foreign direct investment covers payments of direct investment income (debit side) which consist of income on equity (dividends branch profits and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars.,How important is Profit remittances on FDI (current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.PEF.TOTL.CD.DT,Portfolio investment equity (DRS current US$),Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares stocks depository receipts (American or global) and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.,How important is Portfolio investment equity (DRS current US$) to you?,0,World Bank Global Development Finance.,economy,0,1,0
BX.PEF.TOTL.CD.WD,Portfolio equity net inflows (BoP current US$),Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares stocks depository receipts (American or global) and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.,How important is Portfolio equity net inflows (BoP current US$) to you?,0,International Monetary Fund Balance of Payments database and World Bank Global Development Finance.,economy,0,1,0
BX.TRF.CURR.CD,Current transfers receipts (BoP current US$),Current transfers (receipts) are recorded in the balance of payments whenever an economy receives goods services income or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.,How important is Current transfers receipts (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.TRF.PWKR.CD,Workers' remittances receipts (BoP current US$),Workers' remittances are current transfers by migrants who are employed or intend to remain employed for more than a year in another economy in which they are considered residents. Some developing countries classify workers' remittances as a factor income receipt (and thus as a component of GNI). The World Bank adheres to international guidelines in defining GNI and its classification of workers' remittances may therefore differ from national practices. This item shows receipts by the reporting country. Data are in current U.S. dollars.,How important is Workers' remittances receipts (BoP current US$) to you?,0,International Monetary Fund Balance of Payments Statistics Yearbook and data files.,economy,0,1,0
BX.TRF.PWKR.CD.DT,Workers' remittances and compensation of employees received (current US$),Workers' remittances and compensation of employees comprise current transfers by migrant workers and wages and salaries earned by nonresident workers.  Data are the sum of three items defined in the fifth edition of the IMF's Balance of Payments Manual: workers' remittances compensation of employees and migrants' transfers. Remittances are classified as current private transfers from migrant workers resident in the host country for more than a year irrespective of their immigration status to recipients in their country of origin. Migrants' transfers are defined as the net worth of migrants who are expected to remain in the host country for more than one year that is transferred from one country to another at the time of migration. Compensation of employees is the income of migrants who have lived in the host country for less than a year. Data are in current U.S. dollars.,How important is Workers' remittances and compensation of employees received (current US$) to you?,0,World Bank staff estimates based on IMF balance of payments data.,economy,0,1,0
BX.TRF.PWKR.DT.GD.ZS,Workers' remittances and compensation of employees received (% of GDP),Workers' remittances and compensation of employees comprise current transfers by migrant workers and wages and salaries earned by nonresident workers.  Data are the sum of three items defined in the fifth edition of the IMF's Balance of Payments Manual: workers' remittances compensation of employees and migrants' transfers. Remittances are classified as current private transfers from migrant workers resident in the host country for more than a year irrespective of their immigration status to recipients in their country of origin. Migrants' transfers are defined as the net worth of migrants who are expected to remain in the host country for more than one year that is transferred from one country to another at the time of migration. Compensation of employees is the income of migrants who have lived in the host country for less than a year.,How important is Workers' remittances and compensation of employees received (% of GDP) to you?,0,World Bank staff estimates based on IMF balance of payments data and World Bank and OECD GDP estimates.,economy,0,1,0
DC.DAC.AUTL.CD,Net bilateral aid flows from DAC donors Austria (current US$),Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia Austria Belgium Canada Denmark Finland France Germany Greece Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Portugal Spain Sweden Switzerland United Kingdom United States and Commission of the European Communities. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.,How important is Net bilateral aid flows from DAC donors Austria (current US$) to you?,0,Development Assistance Committee of the Organisation for Economic Co-operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co-operation Report and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.,economy,0,1,0
DC.DAC.BELL.CD,Net bilateral aid flows from DAC donors Belgium (current US$),Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia Austria Belgium Canada Denmark Finland France Germany Greece Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Portugal Spain Sweden Switzerland United Kingdom United States and Commission of the European Communities. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.,How important is Net bilateral aid flows from DAC donors Belgium (current US$) to you?,0,Development Assistance Committee of the Organisation for Economic Co-operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co-operation Report and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.,economy,0,1,0
DC.DAC.CANL.CD,Net bilateral aid flows from DAC donors Canada (current US$),Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia Austria Belgium Canada Denmark Finland France Germany Greece Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Portugal Spain Sweden Switzerland United Kingdom United States and Commission of the European Communities. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.,How important is Net bilateral aid flows from DAC donors Canada (current US$) to you?,0,Development Assistance Committee of the Organisation for Economic Co-operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co-operation Report and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.,economy,0,1,0
DC.DAC.CECL.CD,Net bilateral aid flows from DAC donors European Commission (current US$),Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia Austria Belgium Canada Denmark Finland France Germany Greece Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Portugal Spain Sweden Switzerland United Kingdom United States and Commission of the European Communities. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.,How important is Net bilateral aid flows from DAC donors European Commission (current US$) to you?,0,Development Assistance Committee of the Organisation for Economic Co-operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co-operation Report and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.,economy,0,1,0
DC.DAC.CHEL.CD,Net bilateral aid flows from DAC donors Switzerland (current US$),Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia Austria Belgium Canada Denmark Finland France Germany Greece Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Portugal Spain Sweden Switzerland United Kingdom United States and Commission of the European Communities. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.,How important is Net bilateral aid flows from DAC donors Switzerland (current US$) to you?,0,Development Assistance Committee of the Organisation for Economic Co-operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co-operation Report and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.,economy,0,1,0
