year,series,series_id,region,region_id,value,value_normalized
2004,Students in tertiary education,education1,Calabria,ITF6,39.5,0.362256
2005,Students in tertiary education,education1,Calabria,ITF6,44.1,0.404444
2006,Students in tertiary education,education1,Calabria,ITF6,45.2,0.378036
2007,Students in tertiary education,education1,Calabria,ITF6,46.3,0.377220
2008,Students in tertiary education,education1,Calabria,ITF6,46.7,0.393873
2009,Students in tertiary education,education1,Calabria,ITF6,45.4,0.375831
2010,Students in tertiary education,education1,Calabria,ITF6,42.9,0.095526
2001,Students in tertiary education,education1,Campania,ITF3,48.6,0.585120
2002,Students in tertiary education,education1,Campania,ITF3,50.5,0.558223
2003,Students in tertiary education,education1,Campania,ITF3,53.2,0.539933
2004,Students in tertiary education,education1,Campania,ITF3,54.8,0.528200
2005,Students in tertiary education,education1,Campania,ITF3,55.8,0.534444
2006,Students in tertiary education,education1,Campania,ITF3,57.1,0.503696
2007,Students in tertiary education,education1,Campania,ITF3,57,0.489028
2008,Students in tertiary education,education1,Campania,ITF3,57.5,0.512035
2009,Students in tertiary education,education1,Campania,ITF3,58,0.515521
2010,Students in tertiary education,education1,Campania,ITF3,53.3,0.120677
2001,Students in tertiary education,education1,Emilia-Romagna,ITD5,81.5,1.000000
2002,Students in tertiary education,education1,Emilia-Romagna,ITD5,87.3,1.000000
2003,Students in tertiary education,education1,Emilia-Romagna,ITD5,94.1,1.000000
2004,Students in tertiary education,education1,Emilia-Romagna,ITD5,98.3,1.000000
2005,Students in tertiary education,education1,Emilia-Romagna,ITD5,97.7,1.000000
2006,Students in tertiary education,education1,Emilia-Romagna,ITD5,97.1,0.926082
2007,Students in tertiary education,education1,Emilia-Romagna,ITD5,94.8,0.884013
2008,Students in tertiary education,education1,Emilia-Romagna,ITD5,91.3,0.881838
2009,Students in tertiary education,education1,Emilia-Romagna,ITD5,86,0.825942
2010,Students in tertiary education,education1,Emilia-Romagna,ITD5,81.2,0.188150
2001,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,67.4,0.822194
2002,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,71.5,0.810324
2003,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,77.6,0.814398
2004,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,81.4,0.816703
2005,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,75.7,0.755556
2006,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,75.8,0.701162
2007,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,76.2,0.689655
2008,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,79.8,0.756018
2009,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,78,0.737251
2010,Students in tertiary education,education1,Friuli-Venezia Giulia,ITD4,67.9,0.155985
2001,Students in tertiary education,education1,Lazio,ITE4,77.1,0.944515
2002,Students in tertiary education,education1,Lazio,ITE4,83.6,0.955582
2003,Students in tertiary education,education1,Lazio,ITE4,85,0.897638
2004,Students in tertiary education,education1,Lazio,ITE4,94.5,0.958785
2005,Students in tertiary education,education1,Lazio,ITE4,95.9,0.980000
2006,Students in tertiary education,education1,Lazio,ITE4,104.1,1.000000
2007,Students in tertiary education,education1,Lazio,ITE4,105.9,1.000000
2008,Students in tertiary education,education1,Lazio,ITE4,102.1,1.000000
2009,Students in tertiary education,education1,Lazio,ITE4,101.7,1.000000
2010,Students in tertiary education,education1,Lazio,ITE4,90.8,0.211366
2001,Students in tertiary education,education1,Liguria,ITC3,54.5,0.659521
2002,Students in tertiary education,education1,Liguria,ITC3,55.9,0.623049
2003,Students in tertiary education,education1,Liguria,ITC3,58.4,0.598425
2004,Students in tertiary education,education1,Liguria,ITC3,60.8,0.593275
2005,Students in tertiary education,education1,Liguria,ITC3,61.8,0.601111
2006,Students in tertiary education,education1,Liguria,ITC3,60.6,0.540655
2007,Students in tertiary education,education1,Liguria,ITC3,62.7,0.548589
2008,Students in tertiary education,education1,Liguria,ITC3,61.8,0.559081
2009,Students in tertiary education,education1,Liguria,ITC3,62.8,0.568736
2010,Students in tertiary education,education1,Liguria,ITC3,396.8,0.951391
2001,Students in tertiary education,education1,Lombardia,ITC4,46.6,0.559899
2002,Students in tertiary education,education1,Lombardia,ITC4,51.3,0.567827
2003,Students in tertiary education,education1,Lombardia,ITC4,56.4,0.575928
2004,Students in tertiary education,education1,Lombardia,ITC4,56.7,0.548807
2005,Students in tertiary education,education1,Lombardia,ITC4,57,0.547778
2006,Students in tertiary education,education1,Lombardia,ITC4,57,0.502640
2007,Students in tertiary education,education1,Lombardia,ITC4,59.8,0.518286
2008,Students in tertiary education,education1,Lombardia,ITC4,61.6,0.556893
2009,Students in tertiary education,education1,Lombardia,ITC4,61.3,0.552106
2010,Students in tertiary education,education1,Lombardia,ITC4,3.4,0.000000
2001,Students in tertiary education,education1,Marche,ITE3,71.1,0.868852
2002,Students in tertiary education,education1,Marche,ITE3,74.1,0.841537
2003,Students in tertiary education,education1,Marche,ITE3,77.1,0.808774
2004,Students in tertiary education,education1,Marche,ITE3,77.3,0.772234
2005,Students in tertiary education,education1,Marche,ITE3,78.1,0.782222
2006,Students in tertiary education,education1,Marche,ITE3,77.5,0.719113
2007,Students in tertiary education,education1,Marche,ITE3,78.5,0.713689
2008,Students in tertiary education,education1,Marche,ITE3,76.8,0.723195
2009,Students in tertiary education,education1,Marche,ITE3,73.6,0.688470
2010,Students in tertiary education,education1,Marche,ITE3,68.2,0.156711
2001,Students in tertiary education,education1,Molise,ITF2,39.6,0.471627
2002,Students in tertiary education,education1,Molise,ITF2,42.8,0.465786
2003,Students in tertiary education,education1,Molise,ITF2,48.9,0.491564
2004,Students in tertiary education,education1,Molise,ITF2,52.5,0.503254
2005,Students in tertiary education,education1,Molise,ITF2,53.8,0.512222
2006,Students in tertiary education,education1,Molise,ITF2,55.9,0.491024
2007,Students in tertiary education,education1,Molise,ITF2,56.8,0.486938
2008,Students in tertiary education,education1,Molise,ITF2,58.8,0.526258
2009,Students in tertiary education,education1,Molise,ITF2,66.9,0.614191
2010,Students in tertiary education,education1,Molise,ITF2,53.4,0.120919
2001,Students in tertiary education,education1,Piemonte,ITC1,42.9,0.513241
2002,Students in tertiary education,education1,Piemonte,ITC1,41.5,0.450180
2003,Students in tertiary education,education1,Piemonte,ITC1,48.3,0.484814
2004,Students in tertiary education,education1,Piemonte,ITC1,48.9,0.464208
2005,Students in tertiary education,education1,Piemonte,ITC1,50.3,0.473333
2006,Students in tertiary education,education1,Piemonte,ITC1,50.3,0.431890
2007,Students in tertiary education,education1,Piemonte,ITC1,53.2,0.449321
2008,Students in tertiary education,education1,Piemonte,ITC1,55.1,0.485777
2009,Students in tertiary education,education1,Piemonte,ITC1,56,0.493348
2010,Students in tertiary education,education1,Piemonte,ITC1,50.6,0.114148
2001,Students in tertiary education,education1,Puglia,ITF4,34.5,0.407314
2002,Students in tertiary education,education1,Puglia,ITF4,36.3,0.387755
2003,Students in tertiary education,education1,Puglia,ITF4,38.1,0.370079
2004,Students in tertiary education,education1,Puglia,ITF4,42.8,0.398048
2005,Students in tertiary education,education1,Puglia,ITF4,46.6,0.432222
2006,Students in tertiary education,education1,Puglia,ITF4,47.6,0.403379
2007,Students in tertiary education,education1,Puglia,ITF4,47.9,0.393939
2008,Students in tertiary education,education1,Puglia,ITF4,47.7,0.404814
2009,Students in tertiary education,education1,Puglia,ITF4,48.5,0.410200
2010,Students in tertiary education,education1,Puglia,ITF4,45.7,0.102297
2001,Students in tertiary education,education1,Sardegna,ITG2,47.6,0.572509
2002,Students in tertiary education,education1,Sardegna,ITG2,47.5,0.522209
2003,Students in tertiary education,education1,Sardegna,ITG2,47.6,0.476940
2004,Students in tertiary education,education1,Sardegna,ITG2,47,0.443601
2005,Students in tertiary education,education1,Sardegna,ITG2,49.8,0.467778
2006,Students in tertiary education,education1,Sardegna,ITG2,53.7,0.467793
2007,Students in tertiary education,education1,Sardegna,ITG2,55.6,0.474399
2008,Students in tertiary education,education1,Sardegna,ITG2,56.2,0.497812
2009,Students in tertiary education,education1,Sardegna,ITG2,54,0.471175
2010,Students in tertiary education,education1,Sardegna,ITG2,50.9,0.114873
2001,Students in tertiary education,education1,Sicilia,ITG1,44.2,0.529634
2002,Students in tertiary education,education1,Sicilia,ITG1,47.1,0.517407
2003,Students in tertiary education,education1,Sicilia,ITG1,49,0.492688
2004,Students in tertiary education,education1,Sicilia,ITG1,51.2,0.489154
2005,Students in tertiary education,education1,Sicilia,ITG1,53.7,0.511111
2006,Students in tertiary education,education1,Sicilia,ITG1,55.1,0.482577
2007,Students in tertiary education,education1,Sicilia,ITG1,56.7,0.485893
2008,Students in tertiary education,education1,Sicilia,ITG1,55.8,0.493435
2009,Students in tertiary education,education1,Sicilia,ITG1,53.8,0.468958
2010,Students in tertiary education,education1,Sicilia,ITG1,48.3,0.108585
2001,Students in tertiary education,education1,Toscana,ITE1,72.1,0.881463
2002,Students in tertiary education,education1,Toscana,ITE1,78.5,0.894358
2003,Students in tertiary education,education1,Toscana,ITE1,85.6,0.904387
2004,Students in tertiary education,education1,Toscana,ITE1,87.5,0.882863
2005,Students in tertiary education,education1,Toscana,ITE1,87.6,0.887778
2006,Students in tertiary education,education1,Toscana,ITE1,89.2,0.842661
2007,Students in tertiary education,education1,Toscana,ITE1,90.5,0.839080
2008,Students in tertiary education,education1,Toscana,ITE1,88.8,0.854486
2009,Students in tertiary education,education1,Toscana,ITE1,88.2,0.850333
2010,Students in tertiary education,education1,Toscana,ITE1,75.8,0.175091
2003,Students in tertiary education,education1,Trento,ITD2,60.5,0.622047
2004,Students in tertiary education,education1,Trento,ITD2,59.8,0.582430
2005,Students in tertiary education,education1,Trento,ITD2,62.8,0.612222
2006,Students in tertiary education,education1,Trento,ITD2,66.1,0.598733
2007,Students in tertiary education,education1,Trento,ITD2,66.3,0.586207
2008,Students in tertiary education,education1,Trento,ITD2,64.6,0.589716
2009,Students in tertiary education,education1,Trento,ITD2,70.7,0.656319
2010,Students in tertiary education,education1,Trento,ITD2,416.9,1.000000
2001,Students in tertiary education,education1,Umbria,ITE2,71.8,0.877680
2002,Students in tertiary education,education1,Umbria,ITE2,78.4,0.893157
2003,Students in tertiary education,education1,Umbria,ITE2,86.6,0.915636
2004,Students in tertiary education,education1,Umbria,ITE2,90.9,0.919740
2005,Students in tertiary education,education1,Umbria,ITE2,93,0.947778
2006,Students in tertiary education,education1,Umbria,ITE2,92.3,0.875396
2007,Students in tertiary education,education1,Umbria,ITE2,94.1,0.876698
2008,Students in tertiary education,education1,Umbria,ITE2,90,0.867615
2009,Students in tertiary education,education1,Umbria,ITE2,91,0.881375
2010,Students in tertiary education,education1,Umbria,ITE2,75.1,0.173398
2001,Students in tertiary education,education1,Valle d'Aosta,ITC2,2.2,0.000000
2002,Students in tertiary education,education1,Valle d'Aosta,ITC2,4,0.000000
2003,Students in tertiary education,education1,Valle d'Aosta,ITC2,6.1,0.010124
2004,Students in tertiary education,education1,Valle d'Aosta,ITC2,10.4,0.046638
2005,Students in tertiary education,education1,Valle d'Aosta,ITC2,13.1,0.060000
2006,Students in tertiary education,education1,Valle d'Aosta,ITC2,19.9,0.110876
2007,Students in tertiary education,education1,Valle d'Aosta,ITC2,19.6,0.098224
2008,Students in tertiary education,education1,Valle d'Aosta,ITC2,18.5,0.085339
2009,Students in tertiary education,education1,Valle d'Aosta,ITC2,20.1,0.095344
2010,Students in tertiary education,education1,Valle d'Aosta,ITC2,20.1,0.040387
2001,Students in tertiary education,education1,Veneto,ITD3,41.7,0.498108
2002,Students in tertiary education,education1,Veneto,ITD3,44.6,0.487395
2003,Students in tertiary education,education1,Veneto,ITD3,47.1,0.471316
2004,Students in tertiary education,education1,Veneto,ITD3,48.9,0.464208
2005,Students in tertiary education,education1,Veneto,ITD3,50.5,0.475556
2006,Students in tertiary education,education1,Veneto,ITD3,50.6,0.435058
2007,Students in tertiary education,education1,Veneto,ITD3,52.2,0.438871
2008,Students in tertiary education,education1,Veneto,ITD3,50.8,0.438731
2009,Students in tertiary education,education1,Veneto,ITD3,48.5,0.410200
2010,Students in tertiary education,education1,Veneto,ITD3,15.4,0.029021
2004,Early leavers from education and training,education2,Abruzzo,ITF1,16.6,0.250000
2005,Early leavers from education and training,education2,Abruzzo,ITF1,16.1,0.185714
2006,Early leavers from education and training,education2,Abruzzo,ITF1,14.7,0.235955
2007,Early leavers from education and training,education2,Abruzzo,ITF1,15,0.239130
2008,Early leavers from education and training,education2,Abruzzo,ITF1,15.6,0.235714
2009,Early leavers from education and training,education2,Abruzzo,ITF1,14.8,0.235294
2010,Early leavers from education and training,education2,Abruzzo,ITF1,13.5,0.119718
2004,Early leavers from education and training,education2,Basilicata,ITF5,17,0.271277
2005,Early leavers from education and training,education2,Basilicata,ITF5,18.3,0.290476
2006,Early leavers from education and training,education2,Basilicata,ITF5,15.2,0.264045
2007,Early leavers from education and training,education2,Basilicata,ITF5,14.1,0.190217
2008,Early leavers from education and training,education2,Basilicata,ITF5,13.9,0.114286
2009,Early leavers from education and training,education2,Basilicata,ITF5,12,0.052288
2010,Early leavers from education and training,education2,Basilicata,ITF5,15.1,0.232394
2004,Early leavers from education and training,education2,Bolzano,ITD1,30.7,1.000000
2005,Early leavers from education and training,education2,Bolzano,ITD1,26.6,0.685714
2006,Early leavers from education and training,education2,Bolzano,ITD1,23.6,0.735955
2007,Early leavers from education and training,education2,Bolzano,ITD1,23.3,0.690217
2008,Early leavers from education and training,education2,Bolzano,ITD1,21.5,0.657143
2009,Early leavers from education and training,education2,Bolzano,ITD1,21,0.640523
2010,Early leavers from education and training,education2,Bolzano,ITD1,22.5,0.753521
2004,Early leavers from education and training,education2,Calabria,ITF6,21.9,0.531915
2005,Early leavers from education and training,education2,Calabria,ITF6,18.3,0.290476
2006,Early leavers from education and training,education2,Calabria,ITF6,19.6,0.511236
2007,Early leavers from education and training,education2,Calabria,ITF6,21.3,0.581522
2008,Early leavers from education and training,education2,Calabria,ITF6,18.7,0.457143
2009,Early leavers from education and training,education2,Calabria,ITF6,17.4,0.405229
2010,Early leavers from education and training,education2,Calabria,ITF6,16.2,0.309859
2004,Early leavers from education and training,education2,Campania,ITF3,28.6,0.888298
2005,Early leavers from education and training,education2,Campania,ITF3,27.9,0.747619
2006,Early leavers from education and training,education2,Campania,ITF3,27.1,0.932584
2007,Early leavers from education and training,education2,Campania,ITF3,29,1.000000
2008,Early leavers from education and training,education2,Campania,ITF3,26.3,1.000000
2009,Early leavers from education and training,education2,Campania,ITF3,23.5,0.803922
2010,Early leavers from education and training,education2,Campania,ITF3,23,0.788732
2004,Early leavers from education and training,education2,Emilia-Romagna,ITD5,20,0.430851
2005,Early leavers from education and training,education2,Emilia-Romagna,ITD5,19.4,0.342857
2006,Early leavers from education and training,education2,Emilia-Romagna,ITD5,17.7,0.404494
2007,Early leavers from education and training,education2,Emilia-Romagna,ITD5,17.4,0.369565
2008,Early leavers from education and training,education2,Emilia-Romagna,ITD5,16.6,0.307143
2009,Early leavers from education and training,education2,Emilia-Romagna,ITD5,15,0.248366
2010,Early leavers from education and training,education2,Emilia-Romagna,ITD5,14.9,0.218310
2004,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,13.7,0.095745
2005,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,15.9,0.176190
2006,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,19.8,0.522472
2007,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,12.6,0.108696
2008,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,15.3,0.214286
2009,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,14.5,0.215686
2010,Early leavers from education and training,education2,Friuli-Venezia Giulia,ITD4,12.1,0.021127
2004,Early leavers from education and training,education2,Lazio,ITE4,15.6,0.196809
2005,Early leavers from education and training,education2,Lazio,ITE4,14.8,0.123810
2006,Early leavers from education and training,education2,Lazio,ITE4,12.3,0.101124
2007,Early leavers from education and training,education2,Lazio,ITE4,10.9,0.016304
2008,Early leavers from education and training,education2,Lazio,ITE4,13.2,0.064286
2009,Early leavers from education and training,education2,Lazio,ITE4,11.2,0.000000
2010,Early leavers from education and training,education2,Lazio,ITE4,13.4,0.112676
2004,Early leavers from education and training,education2,Liguria,ITC3,16.3,0.234043
2005,Early leavers from education and training,education2,Liguria,ITC3,17,0.228571
2006,Early leavers from education and training,education2,Liguria,ITC3,16.1,0.314607
2007,Early leavers from education and training,education2,Liguria,ITC3,16.5,0.320652
2008,Early leavers from education and training,education2,Liguria,ITC3,12.6,0.021429
2009,Early leavers from education and training,education2,Liguria,ITC3,12.4,0.078431
2010,Early leavers from education and training,education2,Liguria,ITC3,16.2,0.309859
2004,Early leavers from education and training,education2,Lombardia,ITC4,21.8,0.526596
2005,Early leavers from education and training,education2,Lombardia,ITC4,21.6,0.447619
2006,Early leavers from education and training,education2,Lombardia,ITC4,18.5,0.449438
2007,Early leavers from education and training,education2,Lombardia,ITC4,18.3,0.418478
2008,Early leavers from education and training,education2,Lombardia,ITC4,19.8,0.535714
2009,Early leavers from education and training,education2,Lombardia,ITC4,19.9,0.568627
2010,Early leavers from education and training,education2,Lombardia,ITC4,18.4,0.464789
2004,Early leavers from education and training,education2,Marche,ITE3,16.7,0.255319
2005,Early leavers from education and training,education2,Marche,ITE3,19.2,0.333333
2006,Early leavers from education and training,education2,Marche,ITE3,18,0.421348
2007,Early leavers from education and training,education2,Marche,ITE3,16.4,0.315217
2008,Early leavers from education and training,education2,Marche,ITE3,14.7,0.171429
2009,Early leavers from education and training,education2,Marche,ITE3,15.6,0.287582
2010,Early leavers from education and training,education2,Marche,ITE3,15,0.225352
2004,Early leavers from education and training,education2,Molise,ITF2,15.2,0.175532
2005,Early leavers from education and training,education2,Molise,ITF2,15.6,0.161905
2006,Early leavers from education and training,education2,Molise,ITF2,16.2,0.320225
2007,Early leavers from education and training,education2,Molise,ITF2,16.4,0.315217
2008,Early leavers from education and training,education2,Molise,ITF2,16.5,0.300000
2009,Early leavers from education and training,education2,Molise,ITF2,16.6,0.352941
2010,Early leavers from education and training,education2,Molise,ITF2,13.5,0.119718
2004,Early leavers from education and training,education2,Piemonte,ITC1,22.3,0.553191
2005,Early leavers from education and training,education2,Piemonte,ITC1,20.7,0.404762
2006,Early leavers from education and training,education2,Piemonte,ITC1,20,0.533708
2007,Early leavers from education and training,education2,Piemonte,ITC1,17.3,0.364130
2008,Early leavers from education and training,education2,Piemonte,ITC1,18.4,0.435714
2009,Early leavers from education and training,education2,Piemonte,ITC1,19.8,0.562092
2010,Early leavers from education and training,education2,Piemonte,ITC1,17.6,0.408451
2004,Early leavers from education and training,education2,Puglia,ITF4,30.3,0.978723
2005,Early leavers from education and training,education2,Puglia,ITF4,29.3,0.814286
2006,Early leavers from education and training,education2,Puglia,ITF4,27,0.926966
2007,Early leavers from education and training,education2,Puglia,ITF4,25.1,0.788043
2008,Early leavers from education and training,education2,Puglia,ITF4,24.3,0.857143
2009,Early leavers from education and training,education2,Puglia,ITF4,24.8,0.888889
2010,Early leavers from education and training,education2,Puglia,ITF4,23.4,0.816901
2004,Early leavers from education and training,education2,Sardegna,ITG2,30.1,0.968085
2005,Early leavers from education and training,education2,Sardegna,ITG2,33.2,1.000000
2006,Early leavers from education and training,education2,Sardegna,ITG2,28.3,1.000000
2007,Early leavers from education and training,education2,Sardegna,ITG2,21.8,0.608696
2008,Early leavers from education and training,education2,Sardegna,ITG2,22.9,0.757143
2009,Early leavers from education and training,education2,Sardegna,ITG2,22.9,0.764706
2010,Early leavers from education and training,education2,Sardegna,ITG2,23.9,0.852113
2004,Early leavers from education and training,education2,Sicilia,ITG1,30.7,1.000000
2005,Early leavers from education and training,education2,Sicilia,ITG1,30.2,0.857143
2006,Early leavers from education and training,education2,Sicilia,ITG1,28.1,0.988764
2007,Early leavers from education and training,education2,Sicilia,ITG1,26.1,0.842391
2008,Early leavers from education and training,education2,Sicilia,ITG1,26.2,0.992857
2009,Early leavers from education and training,education2,Sicilia,ITG1,26.5,1.000000
2010,Early leavers from education and training,education2,Sicilia,ITG1,26,1.000000
2004,Early leavers from education and training,education2,Toscana,ITE1,21,0.484043
2005,Early leavers from education and training,education2,Toscana,ITE1,17.2,0.238095
2006,Early leavers from education and training,education2,Toscana,ITE1,16.3,0.325843
2007,Early leavers from education and training,education2,Toscana,ITE1,18,0.402174
2008,Early leavers from education and training,education2,Toscana,ITE1,16.5,0.300000
2009,Early leavers from education and training,education2,Toscana,ITE1,16.9,0.372549
2010,Early leavers from education and training,education2,Toscana,ITE1,17.6,0.408451
2004,Early leavers from education and training,education2,Trento,ITD2,11.9,0.000000
2005,Early leavers from education and training,education2,Trento,ITD2,12.2,0.000000
2006,Early leavers from education and training,education2,Trento,ITD2,10.5,0.000000
2007,Early leavers from education and training,education2,Trento,ITD2,10.6,0.000000
2008,Early leavers from education and training,education2,Trento,ITD2,12.3,0.000000
2009,Early leavers from education and training,education2,Trento,ITD2,12.3,0.071895
2010,Early leavers from education and training,education2,Trento,ITD2,11.8,0.000000
2004,Early leavers from education and training,education2,Umbria,ITE2,13.3,0.074468
2005,Early leavers from education and training,education2,Umbria,ITE2,15.5,0.157143
2006,Early leavers from education and training,education2,Umbria,ITE2,14.8,0.241573
2007,Early leavers from education and training,education2,Umbria,ITE2,12.7,0.114130
2008,Early leavers from education and training,education2,Umbria,ITE2,14.8,0.178571
2009,Early leavers from education and training,education2,Umbria,ITE2,12.3,0.071895
2010,Early leavers from education and training,education2,Umbria,ITE2,13.4,0.112676
2004,Early leavers from education and training,education2,Valle d'Aosta,ITC2,22.3,0.553191
2005,Early leavers from education and training,education2,Valle d'Aosta,ITC2,22.3,0.480952
2006,Early leavers from education and training,education2,Valle d'Aosta,ITC2,21.9,0.640449
2007,Early leavers from education and training,education2,Valle d'Aosta,ITC2,24.3,0.744565
2008,Early leavers from education and training,education2,Valle d'Aosta,ITC2,25.9,0.971429
2009,Early leavers from education and training,education2,Valle d'Aosta,ITC2,21.4,0.666667
2010,Early leavers from education and training,education2,Valle d'Aosta,ITC2,21.2,0.661972
2004,Early leavers from education and training,education2,Veneto,ITD3,18.2,0.335106
2005,Early leavers from education and training,education2,Veneto,ITD3,18.4,0.295238
2006,Early leavers from education and training,education2,Veneto,ITD3,15,0.252809
2007,Early leavers from education and training,education2,Veneto,ITD3,13.1,0.135870
2008,Early leavers from education and training,education2,Veneto,ITD3,15.6,0.235714
2009,Early leavers from education and training,education2,Veneto,ITD3,17,0.379085
2010,Early leavers from education and training,education2,Veneto,ITD3,16,0.295775
2004,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,15.9,0.308300
2005,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,15.9,0.285714
2006,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,15.0,0.237288
2007,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,14.3,0.237288
2008,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,15.4,0.264957
2009,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,18.4,0.393305
2010,Young people who are not working and not studying (neets),education3,Abruzzo,ITF1,18.8,0.364754
2004,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,24.9,0.664032
2005,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,25.2,0.654762
2006,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,24.0,0.618644
2007,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,23.1,0.610169
2008,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,23.0,0.589744
2009,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,23.7,0.615063
2010,Young people who are not working and not studying (neets),education3,Basilicata,ITF5,28.5,0.762295
2004,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,8.1,0.000000
2005,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,8.7,0.000000
2006,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,9.4,0.000000
2007,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,8.7,0.000000
2008,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,9.2,0.000000
2009,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,9.0,0.000000
2010,Young people who are not working and not studying (neets),education3,Bolzano,ITD1,9.9,0.000000
2004,Young people who are not working and not studying (neets),education3,Calabria,ITF6,29.0,0.826087
2005,Young people who are not working and not studying (neets),education3,Calabria,ITF6,30.1,0.849206
2006,Young people who are not working and not studying (neets),education3,Calabria,ITF6,29.3,0.843220
2007,Young people who are not working and not studying (neets),education3,Calabria,ITF6,29.7,0.889831
2008,Young people who are not working and not studying (neets),education3,Calabria,ITF6,28.2,0.811966
2009,Young people who are not working and not studying (neets),education3,Calabria,ITF6,28.1,0.799163
2010,Young people who are not working and not studying (neets),education3,Calabria,ITF6,31.4,0.881148
2004,Young people who are not working and not studying (neets),education3,Campania,ITF3,31.2,0.913043
2005,Young people who are not working and not studying (neets),education3,Campania,ITF3,31.8,0.916667
2006,Young people who are not working and not studying (neets),education3,Campania,ITF3,30.5,0.894068
2007,Young people who are not working and not studying (neets),education3,Campania,ITF3,32.3,1.000000
2008,Young people who are not working and not studying (neets),education3,Campania,ITF3,32.5,0.995726
2009,Young people who are not working and not studying (neets),education3,Campania,ITF3,32.9,1.000000
2010,Young people who are not working and not studying (neets),education3,Campania,ITF3,34.3,1.000000
2004,Young people who are not working and not studying (neets),education3,Emilia-Romagna,ITD5,9.8,0.067194
